zone,latitude,longitude,hour,weather,day_type,road_type,severity,risk_score,vehicles_involved,year,month
Thane - Ghodbunder Road,19.224176,72.970464,0,Clear,Weekday,Urban Road,Serious,0.586,1,2022,5
Thane - Ghodbunder Road,19.242789,72.967551,7,Clear,Weekend,Urban Road,Minor,0.54,2,2022,6
Thane - Ghodbunder Road,19.216183,72.999861,11,Fog,Weekday,Junction,Minor,0.604,1,2024,3
Thane - Ghodbunder Road,19.215509,72.982949,15,Rain,Weekday,Flyover,Minor,0.498,3,2023,12
Thane - Ghodbunder Road,19.220013,72.968134,20,Clear,Weekday,Junction,Minor,0.371,3,2022,10
Thane - Ghodbunder Road,19.210084,72.985163,21,Clear,Weekday,Urban Road,Minor,0.345,1,2023,6
Thane - Ghodbunder Road,19.218491,72.985075,11,Clear,Weekend,Junction,Serious,0.446,1,2024,4
Thane - Ghodbunder Road,19.216405,72.974217,17,Rain,Weekend,Junction,Minor,0.609,1,2022,6
Thane - Ghodbunder Road,19.218814,72.969478,16,Clear,Weekday,Junction,Minor,0.472,1,2024,12
Thane - Ghodbunder Road,19.221679,72.967637,22,Clear,Weekend,Highway,Minor,0.55,2,2023,10
Thane - Ghodbunder Road,19.215626,72.975557,2,Overcast,Weekend,Urban Road,Minor,0.448,2,2024,6
Thane - Ghodbunder Road,19.22656,72.965945,17,Rain,Weekday,Flyover,Serious,0.694,4,2023,5
Thane - Ghodbunder Road,19.213906,72.986874,7,Clear,Weekday,Highway,Minor,0.544,2,2022,5
Thane - Ghodbunder Road,19.237084,72.98134,11,Rain,Weekday,Highway,Minor,0.511,4,2024,8
Thane - Ghodbunder Road,19.224293,72.992572,21,Overcast,Weekend,Urban Road,Serious,0.453,1,2021,3
Thane - Ghodbunder Road,19.212705,72.974752,19,Rain,Weekend,Urban Road,Minor,0.524,2,2023,7
Thane - Ghodbunder Road,19.213322,72.975256,5,Clear,Weekend,Highway,Serious,0.442,1,2022,11
Thane - Ghodbunder Road,19.223183,72.977933,20,Rain,Weekend,Highway,Minor,0.545,2,2021,7
Thane - Ghodbunder Road,19.211399,72.984425,15,Fog,Weekday,Highway,Serious,0.554,2,2021,1
Thane - Ghodbunder Road,19.213395,72.993399,13,Fog,Weekday,Junction,Minor,0.554,1,2021,3
Thane - Ghodbunder Road,19.232809,72.981337,16,Rain,Weekday,Junction,Serious,0.581,3,2024,9
Thane - Ghodbunder Road,19.220156,72.966515,18,Rain,Weekday,Highway,Serious,0.604,4,2021,7
Thane - Ghodbunder Road,19.202003,72.99066,23,Rain,Weekday,Highway,Serious,0.578,2,2023,7
Thane - Ghodbunder Road,19.222588,72.984821,12,Clear,Weekday,Urban Road,Serious,0.42,4,2022,9
Thane - Ghodbunder Road,19.220093,72.978201,11,Clear,Weekend,Highway,Fatal,0.505,1,2024,3
Thane - Ghodbunder Road,19.212686,72.976954,17,Clear,Weekday,Highway,Minor,0.64,4,2024,5
Thane - Ghodbunder Road,19.202998,72.981,9,Clear,Weekday,Urban Road,Serious,0.478,4,2021,12
Thane - Ghodbunder Road,19.219509,72.968246,9,Clear,Weekday,Junction,Minor,0.627,4,2021,6
Thane - Ghodbunder Road,19.217384,72.988003,19,Overcast,Weekday,Urban Road,Minor,0.537,3,2023,1
Thane - Ghodbunder Road,19.22476,72.985493,1,Clear,Weekday,Urban Road,Serious,0.536,3,2021,5
Thane - Ghodbunder Road,19.226784,72.990431,12,Clear,Weekend,Urban Road,Minor,0.429,4,2023,8
Thane - Ghodbunder Road,19.238614,72.989274,2,Clear,Weekday,Junction,Minor,0.58,2,2022,11
Thane - Ghodbunder Road,19.208834,72.961786,8,Clear,Weekday,Urban Road,Serious,0.489,3,2022,4
Thane - Ghodbunder Road,19.223466,72.987797,15,Clear,Weekend,Highway,Minor,0.496,1,2024,4
Thane - Ghodbunder Road,19.217317,72.977498,13,Overcast,Weekday,Highway,Serious,0.461,1,2023,7
Thane - Ghodbunder Road,19.216417,72.981842,15,Clear,Weekday,Highway,Serious,0.498,1,2022,3
Thane - Ghodbunder Road,19.217444,72.969818,3,Clear,Weekday,Highway,Minor,0.449,2,2022,2
Thane - Ghodbunder Road,19.234088,72.975068,7,Clear,Weekday,Highway,Minor,0.574,1,2022,4
Thane - Ghodbunder Road,19.237293,72.975614,19,Rain,Weekday,Highway,Minor,0.575,3,2022,8
Thane - Ghodbunder Road,19.223509,72.968742,18,Clear,Weekday,Highway,Serious,0.592,4,2021,7
Thane - Ghodbunder Road,19.231797,72.985153,11,Clear,Weekday,Highway,Minor,0.365,3,2021,2
Thane - Ghodbunder Road,19.212953,72.989266,6,Clear,Weekday,Urban Road,Minor,0.369,2,2023,8
Thane - Ghodbunder Road,19.21665,72.959876,13,Clear,Weekend,Highway,Minor,0.383,2,2023,8
Thane - Ghodbunder Road,19.211039,72.973486,20,Clear,Weekday,Urban Road,Fatal,0.376,4,2022,3
Thane - Ghodbunder Road,19.211022,72.983209,19,Rain,Weekday,Urban Road,Serious,0.606,4,2021,12
Thane - Ghodbunder Road,19.205412,72.976912,6,Rain,Weekday,Urban Road,Minor,0.587,2,2021,7
Thane - Ghodbunder Road,19.237419,72.973265,15,Clear,Weekday,Highway,Minor,0.428,3,2022,1
Thane - Ghodbunder Road,19.208365,72.979568,19,Rain,Weekday,Junction,Fatal,0.623,4,2024,8
Thane - Ghodbunder Road,19.223527,72.967771,19,Rain,Weekend,Junction,Minor,0.666,2,2024,9
Thane - Ghodbunder Road,19.215488,72.978247,20,Clear,Weekend,Urban Road,Minor,0.294,1,2021,1
Thane - Ghodbunder Road,19.203361,72.971982,11,Clear,Weekday,Highway,Minor,0.532,3,2024,10
Thane - Ghodbunder Road,19.221531,72.969369,7,Rain,Weekday,Urban Road,Serious,0.544,3,2021,4
Thane - Ghodbunder Road,19.216141,72.97027,15,Rain,Weekend,Highway,Serious,0.467,1,2024,5
Thane - Ghodbunder Road,19.222436,72.987556,13,Clear,Weekend,Highway,Serious,0.533,2,2022,8
Thane - Ghodbunder Road,19.219744,72.999249,15,Clear,Weekday,Junction,Minor,0.486,1,2021,8
Thane - Ghodbunder Road,19.222072,72.993156,20,Overcast,Weekday,Urban Road,Fatal,0.368,2,2023,8
Thane - Ghodbunder Road,19.221651,72.974986,19,Overcast,Weekday,Highway,Minor,0.655,1,2023,6
Thane - Ghodbunder Road,19.205061,72.984685,14,Rain,Weekday,Highway,Minor,0.457,2,2023,2
Thane - Ghodbunder Road,19.222074,72.965862,13,Overcast,Weekday,Highway,Fatal,0.472,4,2022,5
Thane - Ghodbunder Road,19.222433,72.971707,21,Clear,Weekday,Urban Road,Minor,0.337,1,2024,1
Thane - Ghodbunder Road,19.214716,72.961107,9,Clear,Weekday,Urban Road,Serious,0.5,1,2021,8
Thane - Ghodbunder Road,19.189754,72.975248,15,Clear,Weekend,Urban Road,Minor,0.36,4,2021,7
Thane - Ghodbunder Road,19.225785,72.988272,21,Clear,Weekday,Urban Road,Minor,0.4,1,2021,7
Thane - Ghodbunder Road,19.21968,72.991833,9,Clear,Weekday,Urban Road,Minor,0.556,3,2024,8
Thane - Ghodbunder Road,19.213042,72.970601,18,Fog,Weekend,Urban Road,Serious,0.63,4,2022,7
Thane - Ghodbunder Road,19.225966,72.979918,16,Rain,Weekend,Highway,Serious,0.576,3,2022,2
Thane - Ghodbunder Road,19.225898,72.975212,11,Clear,Weekend,Highway,Serious,0.485,3,2024,10
Thane - Ghodbunder Road,19.229068,72.995342,18,Clear,Weekend,Urban Road,Serious,0.491,3,2021,6
Thane - Ghodbunder Road,19.225901,72.982417,17,Clear,Weekday,Junction,Serious,0.622,4,2021,10
Thane - Ghodbunder Road,19.226162,72.991424,15,Clear,Weekday,Urban Road,Serious,0.401,3,2022,1
Thane - Ghodbunder Road,19.215516,72.979688,12,Clear,Weekday,Highway,Minor,0.499,4,2023,10
Thane - Ghodbunder Road,19.219363,72.982259,5,Fog,Weekday,Junction,Serious,0.595,2,2021,8
Thane - Ghodbunder Road,19.238781,72.977332,8,Clear,Weekday,Urban Road,Minor,0.502,2,2021,10
Thane - Ghodbunder Road,19.236723,72.985986,13,Clear,Weekday,Urban Road,Serious,0.341,1,2021,1
Thane - Ghodbunder Road,19.224834,72.983049,22,Clear,Weekday,Urban Road,Serious,0.498,3,2021,6
Thane - Ghodbunder Road,19.21524,72.978928,16,Overcast,Weekend,Urban Road,Serious,0.415,1,2023,10
Thane - Ghodbunder Road,19.217984,72.983552,15,Overcast,Weekday,Urban Road,Minor,0.381,2,2024,7
Thane - Ghodbunder Road,19.240235,72.978737,13,Clear,Weekday,Urban Road,Minor,0.345,2,2023,7
Thane - Ghodbunder Road,19.225242,72.980364,5,Clear,Weekday,Junction,Minor,0.519,2,2024,2
Thane - Ghodbunder Road,19.229575,72.996491,2,Fog,Weekday,Junction,Minor,0.682,4,2024,9
Thane - Ghodbunder Road,19.215897,72.971662,18,Clear,Weekday,Urban Road,Minor,0.49,2,2022,4
Thane - Ghodbunder Road,19.211235,72.972912,17,Rain,Weekday,Junction,Minor,0.636,4,2022,7
Thane - Ghodbunder Road,19.219632,72.98204,20,Overcast,Weekday,Urban Road,Minor,0.448,1,2023,10
Thane - Ghodbunder Road,19.227853,72.978872,4,Clear,Weekday,Flyover,Serious,0.434,4,2022,1
Thane - Ghodbunder Road,19.213882,72.983163,7,Clear,Weekend,Urban Road,Minor,0.433,4,2021,9
Thane - Ghodbunder Road,19.226969,72.971296,16,Rain,Weekday,Junction,Minor,0.555,4,2024,6
Thane - Ghodbunder Road,19.214159,72.97989,9,Rain,Weekday,Highway,Minor,0.633,1,2022,8
Thane - Ghodbunder Road,19.219361,72.979359,20,Clear,Weekend,Urban Road,Serious,0.443,4,2024,12
Thane - Ghodbunder Road,19.226368,72.990354,19,Fog,Weekday,Junction,Serious,0.775,2,2024,7
Thane - Ghodbunder Road,19.223411,72.990638,20,Overcast,Weekday,Junction,Minor,0.461,4,2023,2
Thane - Ghodbunder Road,19.223464,72.995406,9,Rain,Weekend,Urban Road,Minor,0.585,3,2024,6
Thane - Ghodbunder Road,19.212669,72.973656,9,Clear,Weekday,Junction,Minor,0.616,4,2022,4
Thane - Ghodbunder Road,19.214459,72.979122,9,Rain,Weekday,Urban Road,Minor,0.593,2,2022,12
Thane - Ghodbunder Road,19.202018,72.983957,18,Clear,Weekend,Highway,Minor,0.561,2,2022,2
Thane - Ghodbunder Road,19.21013,72.983767,23,Clear,Weekday,Highway,Serious,0.642,2,2023,4
Thane - Ghodbunder Road,19.223366,72.968282,17,Clear,Weekend,Highway,Minor,0.562,1,2021,3
Thane - Ghodbunder Road,19.221522,72.983619,9,Clear,Weekend,Urban Road,Minor,0.591,2,2023,12
Thane - Ghodbunder Road,19.221882,72.983242,13,Overcast,Weekday,Junction,Serious,0.516,4,2024,5
Thane - Ghodbunder Road,19.231405,72.990108,21,Overcast,Weekday,Urban Road,Minor,0.474,4,2024,9
Thane - Ghodbunder Road,19.226266,72.975885,8,Clear,Weekday,Urban Road,Minor,0.476,2,2022,2
Thane - Ghodbunder Road,19.210564,72.977718,13,Rain,Weekday,Urban Road,Serious,0.447,1,2024,9
Thane - Ghodbunder Road,19.212056,72.974331,15,Clear,Weekday,Highway,Minor,0.451,3,2022,6
Thane - Ghodbunder Road,19.220504,72.971712,15,Rain,Weekend,Highway,Minor,0.562,3,2023,6
Thane - Ghodbunder Road,19.222477,72.982245,16,Rain,Weekday,Highway,Fatal,0.515,3,2023,11
Thane - Ghodbunder Road,19.232188,72.979683,20,Clear,Weekend,Urban Road,Serious,0.453,3,2022,6
Thane - Ghodbunder Road,19.216668,72.976612,16,Rain,Weekday,Urban Road,Minor,0.532,4,2023,12
Thane - Ghodbunder Road,19.209277,72.982614,15,Rain,Weekday,Flyover,Fatal,0.52,3,2021,6
Thane - Ghodbunder Road,19.230892,72.968294,2,Clear,Weekday,Junction,Serious,0.584,4,2024,8
Thane - Ghodbunder Road,19.230378,72.991224,14,Clear,Weekday,Highway,Minor,0.375,4,2022,7
Thane - Ghodbunder Road,19.224516,72.981313,9,Rain,Weekend,Highway,Serious,0.697,4,2022,7
Thane - Ghodbunder Road,19.211149,72.976984,16,Clear,Weekday,Urban Road,Minor,0.354,1,2023,8
Thane - Ghodbunder Road,19.215938,72.978235,15,Rain,Weekday,Urban Road,Minor,0.5,4,2024,4
Thane - Ghodbunder Road,19.201539,72.980133,22,Clear,Weekday,Highway,Minor,0.583,2,2021,1
Thane - Ghodbunder Road,19.205456,72.982131,12,Rain,Weekend,Highway,Minor,0.578,1,2021,8
Thane - Ghodbunder Road,19.217727,72.977802,19,Rain,Weekend,Highway,Minor,0.52,3,2021,4
Thane - Ghodbunder Road,19.211143,72.971051,4,Rain,Weekday,Highway,Minor,0.518,2,2024,11
Thane - Ghodbunder Road,19.201493,73.001602,0,Overcast,Weekday,Junction,Minor,0.709,4,2022,4
Thane - Ghodbunder Road,19.214882,72.972334,7,Clear,Weekday,Junction,Serious,0.568,2,2021,6
Thane - Ghodbunder Road,19.223648,72.973965,9,Rain,Weekend,Urban Road,Minor,0.592,3,2024,1
Thane - Ghodbunder Road,19.231349,72.971927,2,Overcast,Weekday,Urban Road,Minor,0.494,4,2022,2
Thane - Ghodbunder Road,19.216204,72.974039,16,Clear,Weekend,Flyover,Serious,0.423,3,2024,2
Thane - Ghodbunder Road,19.229306,72.9769,12,Clear,Weekday,Junction,Serious,0.453,2,2023,9
Thane - Ghodbunder Road,19.235998,72.986996,10,Rain,Weekday,Urban Road,Minor,0.454,4,2021,3
Thane - Ghodbunder Road,19.212836,72.978573,8,Clear,Weekday,Urban Road,Serious,0.396,2,2024,5
Thane - Ghodbunder Road,19.198968,72.973835,19,Clear,Weekday,Urban Road,Minor,0.564,3,2022,2
Thane - Ghodbunder Road,19.230546,72.977325,17,Clear,Weekend,Urban Road,Serious,0.449,3,2022,4
Thane - Ghodbunder Road,19.225647,72.965536,9,Clear,Weekday,Junction,Minor,0.518,2,2022,1
Thane - Ghodbunder Road,19.222408,72.985692,22,Fog,Weekday,Highway,Serious,0.661,1,2022,8
Thane - Ghodbunder Road,19.222076,72.979214,22,Clear,Weekend,Urban Road,Minor,0.495,3,2022,6
Thane - Ghodbunder Road,19.21627,72.980634,14,Rain,Weekend,Urban Road,Minor,0.485,3,2021,4
Thane - Ghodbunder Road,19.211617,72.995261,9,Fog,Weekday,Urban Road,Minor,0.683,2,2021,1
Thane - Ghodbunder Road,19.231287,72.965804,18,Fog,Weekday,Highway,Minor,0.729,2,2021,9
Thane - Ghodbunder Road,19.231722,72.973671,13,Overcast,Weekday,Urban Road,Minor,0.421,1,2023,7
Thane - Ghodbunder Road,19.225245,72.987146,10,Fog,Weekday,Highway,Fatal,0.511,1,2024,1
Thane - Ghodbunder Road,19.213325,72.983711,8,Clear,Weekday,Urban Road,Minor,0.594,1,2024,6
Thane - Ghodbunder Road,19.214071,72.962491,16,Rain,Weekday,Urban Road,Minor,0.441,2,2024,10
Thane - Ghodbunder Road,19.21741,72.970869,22,Clear,Weekday,Highway,Minor,0.557,4,2024,1
Thane - Ghodbunder Road,19.224413,72.984285,9,Overcast,Weekday,Urban Road,Minor,0.571,4,2022,6
Thane - Ghodbunder Road,19.209735,72.970982,6,Rain,Weekday,Junction,Serious,0.47,2,2021,5
Thane - Ghodbunder Road,19.214056,72.991618,10,Clear,Weekday,Junction,Minor,0.49,4,2022,12
Thane - Ghodbunder Road,19.220439,72.980674,21,Clear,Weekend,Urban Road,Serious,0.483,4,2023,4
Thane - Ghodbunder Road,19.222674,72.979086,19,Clear,Weekday,Highway,Minor,0.572,1,2022,1
Thane - Ghodbunder Road,19.198094,72.978612,21,Clear,Weekday,Junction,Minor,0.503,1,2021,5
Thane - Ghodbunder Road,19.220714,72.98336,7,Clear,Weekday,Highway,Minor,0.547,4,2022,12
Thane - Ghodbunder Road,19.227452,72.961975,19,Clear,Weekday,Urban Road,Minor,0.515,2,2022,9
Thane - Ghodbunder Road,19.215013,72.975162,5,Overcast,Weekday,Urban Road,Fatal,0.38,3,2023,12
Thane - Ghodbunder Road,19.222225,72.969877,16,Rain,Weekday,Highway,Minor,0.473,2,2023,2
Thane - Ghodbunder Road,19.215767,72.985129,7,Fog,Weekday,Highway,Minor,0.728,2,2023,2
Thane - Ghodbunder Road,19.22196,72.968551,7,Clear,Weekend,Urban Road,Serious,0.546,1,2021,10
Thane - Ghodbunder Road,19.210515,72.987673,8,Overcast,Weekend,Flyover,Minor,0.554,3,2021,10
Thane - Ghodbunder Road,19.226395,72.980668,7,Fog,Weekday,Urban Road,Serious,0.6,2,2021,10
Thane - Ghodbunder Road,19.215046,72.977393,20,Overcast,Weekend,Highway,Serious,0.388,3,2023,2
Thane - Ghodbunder Road,19.218059,72.980174,11,Clear,Weekday,Junction,Minor,0.514,4,2021,8
Thane - Ghodbunder Road,19.210527,72.987703,6,Rain,Weekday,Highway,Minor,0.441,3,2023,12
Thane - Ghodbunder Road,19.211916,72.976942,10,Clear,Weekday,Junction,Minor,0.435,4,2024,1
Thane - Ghodbunder Road,19.210895,72.983233,9,Rain,Weekday,Urban Road,Minor,0.582,2,2023,2
Thane - Ghodbunder Road,19.218628,72.984736,10,Clear,Weekday,Highway,Minor,0.509,4,2024,2
Thane - Ghodbunder Road,19.202717,72.982736,7,Clear,Weekend,Highway,Minor,0.481,2,2024,5
Thane - Ghodbunder Road,19.224269,72.975218,17,Clear,Weekday,Flyover,Serious,0.535,4,2021,2
Thane - Ghodbunder Road,19.211905,72.980456,16,Clear,Weekend,Urban Road,Serious,0.444,1,2022,2
Thane - Ghodbunder Road,19.222256,72.983889,7,Rain,Weekend,Highway,Minor,0.542,3,2021,1
Thane - Pokhran Road,19.21754,72.97325,16,Clear,Weekday,Highway,Serious,0.383,4,2021,12
Thane - Pokhran Road,19.211485,72.960396,18,Overcast,Weekday,Urban Road,Serious,0.412,4,2022,7
Thane - Pokhran Road,19.211291,72.978216,16,Rain,Weekday,Urban Road,Minor,0.404,4,2023,3
Thane - Pokhran Road,19.219086,72.976552,19,Clear,Weekday,Highway,Minor,0.552,2,2023,10
Thane - Pokhran Road,19.204816,72.973049,11,Clear,Weekday,Highway,Serious,0.45,4,2021,3
Thane - Pokhran Road,19.217593,72.97634,5,Rain,Weekday,Urban Road,Serious,0.35,3,2024,12
Thane - Pokhran Road,19.219852,72.964364,10,Rain,Weekday,Urban Road,Serious,0.396,1,2023,1
Thane - Pokhran Road,19.210919,72.976214,6,Clear,Weekday,Urban Road,Fatal,0.317,1,2022,4
Thane - Pokhran Road,19.198386,72.977344,13,Clear,Weekday,Flyover,Serious,0.367,2,2021,6
Thane - Pokhran Road,19.213509,72.967338,14,Clear,Weekend,Highway,Minor,0.476,2,2024,5
Thane - Pokhran Road,19.201405,72.97117,17,Rain,Weekday,Junction,Fatal,0.578,1,2022,8
Thane - Pokhran Road,19.202678,72.964217,5,Clear,Weekday,Highway,Fatal,0.433,2,2023,10
Thane - Pokhran Road,19.225666,72.96109,19,Clear,Weekday,Junction,Minor,0.585,3,2023,6
Thane - Pokhran Road,19.1969,72.967368,20,Clear,Weekday,Flyover,Serious,0.297,1,2021,10
Thane - Pokhran Road,19.208349,72.965015,23,Clear,Weekend,Highway,Minor,0.547,2,2023,1
Thane - Pokhran Road,19.212436,72.986092,14,Clear,Weekend,Urban Road,Minor,0.324,2,2022,6
Thane - Pokhran Road,19.207313,72.979156,19,Clear,Weekday,Urban Road,Minor,0.534,2,2024,11
Thane - Pokhran Road,19.205538,72.963973,13,Clear,Weekend,Highway,Minor,0.358,2,2024,6
Thane - Pokhran Road,19.21451,72.974538,1,Clear,Weekday,Highway,Minor,0.536,2,2021,8
Thane - Pokhran Road,19.217707,72.975643,13,Overcast,Weekday,Urban Road,Minor,0.431,2,2023,3
Thane - Pokhran Road,19.216874,72.979997,12,Clear,Weekday,Highway,Minor,0.351,3,2024,8
Thane - Pokhran Road,19.215711,72.969425,14,Clear,Weekday,Highway,Serious,0.323,3,2024,6
Thane - Pokhran Road,19.200094,72.965714,7,Clear,Weekday,Junction,Serious,0.522,4,2021,12
Thane - Pokhran Road,19.20202,72.98099,18,Clear,Weekend,Urban Road,Minor,0.462,4,2022,10
Thane - Pokhran Road,19.212006,72.973155,12,Clear,Weekday,Urban Road,Minor,0.361,1,2024,9
Thane - Pokhran Road,19.208077,72.982048,19,Clear,Weekend,Highway,Minor,0.494,1,2024,2
Thane - Pokhran Road,19.205727,72.978457,19,Fog,Weekday,Highway,Minor,0.624,3,2023,2
Thane - Pokhran Road,19.21263,72.971406,18,Rain,Weekday,Urban Road,Serious,0.504,3,2021,4
Thane - Pokhran Road,19.201348,72.969806,18,Clear,Weekday,Highway,Serious,0.535,2,2021,6
Thane - Pokhran Road,19.20781,72.974001,11,Clear,Weekend,Urban Road,Serious,0.302,1,2023,12
Thane - Pokhran Road,19.201604,72.980457,17,Clear,Weekend,Urban Road,Serious,0.445,4,2022,3
Thane - Pokhran Road,19.212506,72.966029,12,Fog,Weekday,Highway,Minor,0.486,2,2023,3
Thane - Pokhran Road,19.205186,72.976875,18,Fog,Weekday,Flyover,Serious,0.616,2,2024,6
Thane - Pokhran Road,19.21604,72.967177,7,Clear,Weekday,Highway,Serious,0.493,1,2023,9
Thane - Pokhran Road,19.223085,72.970764,9,Rain,Weekday,Junction,Serious,0.64,1,2024,12
Thane - Pokhran Road,19.21218,72.980908,15,Overcast,Weekend,Urban Road,Minor,0.344,1,2021,9
Thane - Pokhran Road,19.214823,72.966367,21,Rain,Weekend,Junction,Serious,0.337,3,2023,9
Thane - Pokhran Road,19.214039,72.981197,10,Clear,Weekday,Junction,Minor,0.32,3,2023,12
Thane - Pokhran Road,19.214289,72.989927,6,Clear,Weekday,Urban Road,Fatal,0.406,2,2022,9
Thane - Pokhran Road,19.189386,72.959334,0,Clear,Weekday,Junction,Minor,0.557,1,2021,3
Thane - Pokhran Road,19.203383,72.974153,8,Rain,Weekday,Highway,Minor,0.557,2,2022,11
Thane - Pokhran Road,19.217706,72.972291,4,Clear,Weekend,Highway,Serious,0.459,3,2021,7
Thane - Pokhran Road,19.194536,72.978251,13,Rain,Weekend,Highway,Minor,0.383,1,2021,12
Thane - Pokhran Road,19.215886,72.975881,17,Clear,Weekend,Flyover,Serious,0.463,1,2023,4
Thane - Pokhran Road,19.201503,72.97055,17,Clear,Weekday,Urban Road,Minor,0.441,2,2023,9
Thane - Pokhran Road,19.211054,72.977672,21,Rain,Weekday,Urban Road,Serious,0.396,4,2023,4
Thane - Pokhran Road,19.21674,72.951981,16,Rain,Weekday,Junction,Fatal,0.5,3,2021,10
Thane - Pokhran Road,19.208051,72.966418,21,Fog,Weekday,Urban Road,Serious,0.51,3,2022,4
Thane - Pokhran Road,19.21331,72.957046,17,Clear,Weekday,Junction,Minor,0.558,4,2024,10
Thane - Pokhran Road,19.21299,72.963363,11,Clear,Weekday,Urban Road,Minor,0.297,1,2024,1
Thane - Pokhran Road,19.207726,72.958132,10,Clear,Weekday,Urban Road,Serious,0.304,2,2024,5
Thane - Pokhran Road,19.200482,72.972381,14,Fog,Weekday,Urban Road,Minor,0.392,2,2023,6
Thane - Pokhran Road,19.209112,72.96829,21,Clear,Weekday,Highway,Minor,0.337,4,2021,3
Thane - Pokhran Road,19.208542,72.975182,20,Rain,Weekend,Flyover,Minor,0.466,1,2024,6
Thane - Pokhran Road,19.219222,72.963093,14,Clear,Weekday,Urban Road,Serious,0.321,3,2022,1
Thane - Pokhran Road,19.211746,72.962136,14,Rain,Weekday,Junction,Minor,0.428,1,2023,2
Thane - Pokhran Road,19.218419,72.968017,13,Clear,Weekend,Junction,Serious,0.51,4,2021,1
Thane - Pokhran Road,19.204643,72.954817,17,Overcast,Weekday,Urban Road,Serious,0.408,2,2021,6
Thane - Pokhran Road,19.209166,72.980608,19,Clear,Weekend,Highway,Serious,0.531,3,2023,10
Thane - Pokhran Road,19.207625,72.976995,13,Clear,Weekday,Urban Road,Serious,0.329,1,2023,5
Thane - Pokhran Road,19.207764,72.970518,23,Clear,Weekend,Junction,Serious,0.61,1,2023,7
Thane - Pokhran Road,19.20612,72.965623,1,Clear,Weekday,Urban Road,Serious,0.522,4,2024,2
Thane - Pokhran Road,19.206548,72.96669,10,Rain,Weekday,Junction,Fatal,0.466,1,2024,8
Thane - Pokhran Road,19.209188,72.964545,18,Rain,Weekend,Junction,Serious,0.601,2,2022,4
Thane - Pokhran Road,19.214269,72.967894,12,Clear,Weekday,Highway,Serious,0.394,3,2022,10
Thane - Pokhran Road,19.212812,72.968888,8,Clear,Weekday,Urban Road,Serious,0.441,3,2024,7
Thane - Pokhran Road,19.199486,72.972079,21,Clear,Weekend,Highway,Minor,0.424,1,2023,9
Thane - Pokhran Road,19.211154,72.981914,18,Clear,Weekend,Junction,Minor,0.546,4,2024,2
Thane - Pokhran Road,19.209922,72.96569,8,Rain,Weekend,Junction,Serious,0.534,3,2023,2
Thane - Pokhran Road,19.209402,72.971526,7,Rain,Weekday,Urban Road,Minor,0.556,2,2022,6
Thane - Pokhran Road,19.218405,72.969416,17,Clear,Weekend,Highway,Minor,0.469,3,2021,11
Thane - Pokhran Road,19.214226,72.970243,20,Rain,Weekend,Junction,Minor,0.433,3,2021,1
Thane - Pokhran Road,19.219289,72.972309,17,Clear,Weekday,Urban Road,Serious,0.5,2,2021,5
